cluster_id,groq_topic_label,source_keywords
0,Advanced Voice Mode,"voice, standard voice, standard, voice mode, mode, avm, advanced, advanced voice, like, just"
1,GPT-4o Output Drop,"gpt, image, model, gpt5, instructions, instruction, 4o, worse, output, promising"
2,GPT Model Comparison,"4o, gpt, model, models, like, plus, just, users, o3, use"
3,OpenAI GPT-4o Models,"gpt, model, openai, 4o, models, users, o3, just, like, gpt 4o"
4,AMA Comments,"ama, comments, comment, just, like, people, don, questions, response, really"
5,ChatGPT Context Window Expansion,"context, window, context window, chatgpt, 32k, gpt, chat, memory, plus, users"
6,ChatGPT 4o Feedback,"chatgpt, like, 4o, just, chat, gpt, want, people, model, don"
7,GPT-4o Tone,"gpt, 4o, gpt 4o, emotional, model, users, like, just, user, tone"
8,Harmful Sexual Content Filtering,"sexual, people, like, just, harmful, content, filter, chatgpt, gpt, answer"
9,AI Safety Concerns,"ai, people, like, openai, just, safety, don, users, models, friend"
