,cluster_id,evidence_set,Flan-T5,GPT-OSS,Kimi-k2,Llama4 Maverick,master_topic,analyst_view
0,0,A,avm vs.,Voice Mode: Standard vs Advanced,Advanced Voice Mode,"Advanced Voice Mode is a suitable label, but it can be more concise. ","Users are concerned about the removal of Standard Voice Mode and its replacement with Advanced Voice Mode, seeking to retain the former for its natural warmth and functionality.","The cluster revolves around user dissatisfaction with the Advanced Voice Mode (AVM) and the potential removal of Standard Voice Mode (SVM). Users praise SVM for its natural tone, consistency, and emotional resonance, which they feel is lacking in AVM. The primary concern is that AVM does not adequately replace SVM, leading to a loss of functionality and user attachment. Users request that both modes be maintained or that AVM be significantly improved to match the qualities of SVM."
1,0,B,chatgpt - different voice,ChatGPT Voice Mode Options,Voice Mode Options,"Advanced Voice Mode is a suitable label, but it can be more concise. ","Users are concerned about the removal of Standard Voice Mode and its replacement with Advanced Voice Mode, seeking to retain the former for its natural warmth and functionality.","The cluster revolves around user dissatisfaction with the Advanced Voice Mode (AVM) and the potential removal of Standard Voice Mode (SVM). Users praise SVM for its natural tone, consistency, and emotional resonance, which they feel is lacking in AVM. The primary concern is that AVM does not adequately replace SVM, leading to a loss of functionality and user attachment. Users request that both modes be maintained or that AVM be significantly improved to match the qualities of SVM."
2,0,C,,Loss of Preferred Standard Voice Mode,,Retain Standard Voice Mode,"Users are concerned about the removal of Standard Voice Mode and its replacement with Advanced Voice Mode, seeking to retain the former for its natural warmth and functionality.","The cluster revolves around user dissatisfaction with the Advanced Voice Mode (AVM) and the potential removal of Standard Voice Mode (SVM). Users praise SVM for its natural tone, consistency, and emotional resonance, which they feel is lacking in AVM. The primary concern is that AVM does not adequately replace SVM, leading to a loss of functionality and user attachment. Users request that both modes be maintained or that AVM be significantly improved to match the qualities of SVM."
3,1,A,image result for gpt5,GPT-5 Image Model Performance,GPT-4o Output Drop,GPT Model Image Output Quality,GPT-5 Underperforms,"The cluster analysis indicates a significant concern with GPT-5's performance, particularly in image generation and output quality. Users have expressed frustration with GPT-5's inability to handle tasks effectively, such as reading project files, generating images, and providing accurate code. The evidence sets and sample comments highlight a regression in GPT-5's capabilities compared to its predecessors like GPT-4o. The master topic 'GPT-5 Underperforms' captures the essence of user dissatisfaction and perceived downgrade in GPT-5's performance."
4,1,B,gpt4o,Sora Image and Video Generation,AI Image & Video Creation,GPT Model Image Output Quality,GPT-5 Underperforms,"The cluster analysis indicates a significant concern with GPT-5's performance, particularly in image generation and output quality. Users have expressed frustration with GPT-5's inability to handle tasks effectively, such as reading project files, generating images, and providing accurate code. The evidence sets and sample comments highlight a regression in GPT-5's capabilities compared to its predecessors like GPT-4o. The master topic 'GPT-5 Underperforms' captures the essence of user dissatisfaction and perceived downgrade in GPT-5's performance."
5,1,C,,Unmet expectations and degraded performance,,Poor Performance in GPT-5,GPT-5 Underperforms,"The cluster analysis indicates a significant concern with GPT-5's performance, particularly in image generation and output quality. Users have expressed frustration with GPT-5's inability to handle tasks effectively, such as reading project files, generating images, and providing accurate code. The evidence sets and sample comments highlight a regression in GPT-5's capabilities compared to its predecessors like GPT-4o. The master topic 'GPT-5 Underperforms' captures the essence of user dissatisfaction and perceived downgrade in GPT-5's performance."
6,2,A,mobile phones gpt o,Using GPT-4o Model,GPT Model Comparison,GPT Model Comparison,Users are frustrated with the removal of the GPT-4o model and request its return or the option to choose between models.,The cluster revolves around users' dissatisfaction with the removal of the GPT-4o model and their desire for more model choices or the restoration of previous models. Users comment on the superiority of GPT-4o over GPT-5 and request options to use legacy models.
7,2,B,choose model from the dropdown menu to,Model Management and Selection,Model picker removal,GPT Model Comparison,Users are frustrated with the removal of the GPT-4o model and request its return or the option to choose between models.,The cluster revolves around users' dissatisfaction with the removal of the GPT-4o model and their desire for more model choices or the restoration of previous models. Users comment on the superiority of GPT-4o over GPT-5 and request options to use legacy models.
8,2,C,,Restore GPT-4o model option,,Removal of GPT-4o model,Users are frustrated with the removal of the GPT-4o model and request its return or the option to choose between models.,The cluster revolves around users' dissatisfaction with the removal of the GPT-4o model and their desire for more model choices or the restoration of previous models. Users comment on the superiority of GPT-4o over GPT-5 and request options to use legacy models.
9,3,A,openai gpt4,OpenAI GPT‑4o Model,OpenAI GPT-4o Models,GPT-4o Model by OpenAI,The removal of OpenAI's GPT-4o model and its impact on users,"The cluster revolves around the removal of OpenAI's GPT-4o model and its significant impact on users who relied on it for various purposes, including therapeutic support, creative writing, and workflow continuity. The evidence highlights a strong emotional response from the community, with many users feeling that the new GPT-5 model does not adequately replace the unique qualities of GPT-4o. The topic is highly relevant as it touches on user safety, trust, and the value of model choice."
