cluster_id,flan_t5_topic_label,source_keywords
0,chatgpt - different voice,"voice, mode, voice mode, standard voice, advanced voice, avm, different, chatgpt, audio, gpt"
1,gpt4o -,"image gen, generation, sora, image generation, video, gpt4o, censorship, create, 2d, create image"
2,choose model from the dropdown menu to,"models, models settings, legacy models, old models, model picker, anymore, default, remove models, option, choose model"
3,openai -lrb,"openai, models, benchmarks, does openai, openais, transparency, openai chosen, time awareness, like o5, asking mars"
4,sam jones ama,"ama, comments, sam, answer questions, jits, answered, links, limit thats, profiles, profiles comment"
5,chatgpt uses 32k of,"window, context window, 32k, use, plus users, chatgpt, conversation, memory, tokens, api"
6,chatgpt is a free,"chatgpt, models, use, gpt5, work, chat, feels like, pro, personality, friend"
7,choosing the right gpt for,"4o, gpt4o, model, gpt5, emotional, support, gpt, choose, presence, feel"
8,chatgpt flagged as harmful,"chatgpt, filter, content, adults, users, harmful, banned, questions, censorship, flagged"
9,openai samsung,"openai, ai, safety, users, models, trust, openais, care, sam, literally"
