cluster_id,flan_t5_topic_label,source_keywords
0,avm vs.,"voice, standard voice, standard, voice mode, mode, avm, advanced, advanced voice, like, just"
1,image result for gpt5,"gpt, image, model, gpt5, instructions, instruction, 4o, worse, output, promising"
2,mobile phones gpt o,"4o, gpt, model, models, like, plus, just, users, o3, use"
3,openai gpt 4,"gpt, model, openai, 4o, models, users, o3, just, like, gpt 4o"
4,don t you just love how people,"ama, comments, comment, just, like, people, don, questions, response, really"
5,chatgpt 32 kb,"context, window, context window, chatgpt, 32k, gpt, chat, memory, plus, users"
6,don just want to chat gp,"chatgpt, like, 4o, just, chat, gpt, want, people, model, don"
7,gpt 4o users just,"gpt, 4o, gpt 4o, emotional, model, users, like, just, user, tone"
8,gpt filtering for people,"sexual, people, like, just, harmful, content, filter, chatgpt, gpt, answer"
9,don t worry about the safety of,"ai, people, like, openai, just, safety, don, users, models, friend"
