cluster_id,flan_t5_topic_label,source_keywords
0,avm voice mode,"voice, standard voice, standard, voice mode, mode, avm, advanced, advanced voice, like, just"
1,gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5 gpt5,"gpt, image, model, gpt5, instructions, instruction, 4o, worse, output, promising"
2,o3 gpt plus users just like the o3 gpt plus users just like the o3 gpt plus users just like the o3 gpt plus users just like the o3 gpt plus users just like the o3 gpt plus users just like the o3 gpt plus users just like the o3 gpt plus users just like the o3 gpt plus users just like the o3 gpt plus users just like the o3 gpt plus users just like the o3 gpt plus users just like the o3 gpt plus users just like the o3 gpt plus users just like the o3 gpt plus users just like the o3 gpt plus users just like the o3 gpt plus users just like the o3 gpt plus users just like the o3 gpt plus users just like the o3 gpt plus users just like the o3 gpt plus users just like the o3,"4o, gpt, model, models, like, plus, just, users, o3, use"
3,gpt 4o users just like the o3 just like the gpt 4o,"gpt, model, openai, 4o, models, users, o3, just, like, gpt 4o"
4,don't like comments,"ama, comments, comment, just, like, people, don, questions, response, really"
5,chatgpt 32 kb gpt chat plus 32 kb gpt chat,"context, window, context window, chatgpt, 32k, gpt, chat, memory, plus, users"
6,Chat gpt with people you like and don't want to talk to on gpt,"chatgpt, like, 4o, just, chat, gpt, want, people, model, don"
7,Gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4o gpt 4,"gpt, 4o, gpt 4o, emotional, model, users, like, just, user, tone"
8,gpt,"sexual, people, like, just, harmful, content, filter, chatgpt, gpt, answer"
9,don't know how to open ai just don't know how to open ai just don't know how to open ai just don't know how to open ai just don't know how to open ai just don't know how to open ai just don't know how to open ai just don't know how to open ai just don't know how to open ai just don't know how to open ai just don't know how to open ai just don't know how to open ai just don't know how to open ai just don't know how to open ai just don't know how to open ai just don't know how to open ai just don't know how to open ai just don't know how to open ai just don't know how to open ai just don't know how to open ai just don't know how to open ai just don't know how to open ai just don't know how to open ai just don't,"ai, people, like, openai, just, safety, don, users, models, friend"
