cluster_id,groq_topic_label,source_keywords
0,Voice Mode Options,"voice, mode, voice mode, standard voice, advanced voice, avm, different, chatgpt, audio, gpt"
1,AI Image & Video Creation,"image gen, generation, sora, image generation, video, gpt4o, censorship, create, 2d, create image"
2,Model picker removal,"models, models settings, legacy models, old models, model picker, anymore, default, remove models, option, choose model"
3,OpenAI Model Transparency,"openai, models, benchmarks, does openai, openais, transparency, openai chosen, time awareness, like o5, asking mars"
4,AMA Profiles & Comments,"ama, comments, sam, answer questions, jits, answered, links, limit thats, profiles, profiles comment"
5,ChatGPT 32K Context Window,"window, context window, 32k, use, plus users, chatgpt, conversation, memory, tokens, api"
6,Pro ChatGPT Experience,"chatgpt, models, use, gpt5, work, chat, feels like, pro, personality, friend"
7,Emotional GPT-4o Experience,"4o, gpt4o, model, gpt5, emotional, support, gpt, choose, presence, feel"
8,Adult Content Filtering,"chatgpt, filter, content, adults, users, harmful, banned, questions, censorship, flagged"
9,OpenAI User Trust,"openai, ai, safety, users, models, trust, openais, care, sam, literally"
