cluster_id,groq_topic_label,source_keywords
0,ChatGPT Voice Mode Options,"voice, mode, voice mode, standard voice, advanced voice, avm, different, chatgpt, audio, gpt"
1,Sora Image and Video Generation,"image gen, generation, sora, image generation, video, gpt4o, censorship, create, 2d, create image"
2,**Model Management and Selection**,"models, models settings, legacy models, old models, model picker, anymore, default, remove models, option, choose model"
3,OpenAI Model Transparency Benchmarks,"openai, models, benchmarks, does openai, openais, transparency, openai chosen, time awareness, like o5, asking mars"
4,AMA Answers and Profile Comments,"ama, comments, sam, answer questions, jits, answered, links, limit thats, profiles, profiles comment"
5,ChatGPT Plus 32k Context,"window, context window, 32k, use, plus users, chatgpt, conversation, memory, tokens, api"
6,ChatGPT as Professional Companion,"chatgpt, models, use, gpt5, work, chat, feels like, pro, personality, friend"
7,Choosing GPT‑4o for Emotional Support,"4o, gpt4o, model, gpt5, emotional, support, gpt, choose, presence, feel"
8,ChatGPT Harmful Content Filtering,"chatgpt, filter, content, adults, users, harmful, banned, questions, censorship, flagged"
9,OpenAI AI Safety & Trust,"openai, ai, safety, users, models, trust, openais, care, sam, literally"
