cluster_id,groq_topic_label,source_keywords
0,"Advanced Voice Mode Features 
","voice, standard voice, standard, voice mode, mode, avm, advanced, advanced voice, like, just"
1,"GPT-5 Image Model Performance 
","gpt, image, model, gpt5, instructions, instruction, 4o, worse, output, promising"
2,"GPT Model User Experiences 
","4o, gpt, model, models, like, plus, just, users, o3, use"
3,"OpenAI GPT-4 Users & Feedback 
","gpt, model, openai, 4o, models, users, o3, just, like, gpt 4o"
4,"User Feedback & Discussion 
","ama, comments, comment, just, like, people, don, questions, response, really"
5,"ChatGPT Context Window Size 
","context, window, context window, chatgpt, 32k, gpt, chat, memory, plus, users"
6,"People Want ChatGPT-Like Models 
","chatgpt, like, 4o, just, chat, gpt, want, people, model, don"
7,"GPT-4O User Emotional Response 
","gpt, 4o, gpt 4o, emotional, model, users, like, just, user, tone"
8,"Harmful Sexual Content Filtering 
","sexual, people, like, just, harmful, content, filter, chatgpt, gpt, answer"
9,"AI Safety and User Trust 
","ai, people, like, openai, just, safety, don, users, models, friend"
